Year,Sector,Value
1997,,0.007904551
1998,,0.007391716
1999,,0.007300838
2000,,0.006984696
2001,,0.006431631
2002,,0.006168024
2003,,0.005971385
2004,,0.005408307
2005,,0.005329895
2006,,0.004729405
2007,,0.003984087
2008,,0.003564005
2009,,0.003731321
2010,,0.003906277
2011,,0.003484083
2012,,0.003389049
2013,,0.003035603
2014,,0.00293226
2015,,0.002796
2016,,0.002637239
2017,,0.002723725
1997,"A - Agriculture, forestry and fishing",0.031976008
1998,"A - Agriculture, forestry and fishing",0.029771423
1999,"A - Agriculture, forestry and fishing",0.028970904
2000,"A - Agriculture, forestry and fishing",0.028474345
2001,"A - Agriculture, forestry and fishing",0.023417977
2002,"A - Agriculture, forestry and fishing",0.020882401
2003,"A - Agriculture, forestry and fishing",0.022163987
2004,"A - Agriculture, forestry and fishing",0.025501587
2005,"A - Agriculture, forestry and fishing",0.025187645
2006,"A - Agriculture, forestry and fishing",0.02097585
2007,"A - Agriculture, forestry and fishing",0.020758984
2008,"A - Agriculture, forestry and fishing",0.014924401
2009,"A - Agriculture, forestry and fishing",0.012681807
2010,"A - Agriculture, forestry and fishing",0.010695616
2011,"A - Agriculture, forestry and fishing",0.010248334
2012,"A - Agriculture, forestry and fishing",0.00925651
2013,"A - Agriculture, forestry and fishing",0.009474937
2014,"A - Agriculture, forestry and fishing",0.009794991
2015,"A - Agriculture, forestry and fishing",0.008708471
2016,"A - Agriculture, forestry and fishing",0.009276474
2017,"A - Agriculture, forestry and fishing",0.011011534
1997,B - Mining and quarrying,0.00035524
1998,B - Mining and quarrying,0.000332344
1999,B - Mining and quarrying,0.000359908
2000,B - Mining and quarrying,0.000379234
2001,B - Mining and quarrying,0.000324675
2002,B - Mining and quarrying,0.000323986
2003,B - Mining and quarrying,0.00090471
2004,B - Mining and quarrying,0.000713959
2005,B - Mining and quarrying,0.004712921
2006,B - Mining and quarrying,0.000775639
2007,B - Mining and quarrying,0.000613361
2008,B - Mining and quarrying,0.000709416
2009,B - Mining and quarrying,0.001320433
2010,B - Mining and quarrying,0.001140684
2011,B - Mining and quarrying,0.001145833
2012,B - Mining and quarrying,0.001159189
2013,B - Mining and quarrying,0.000847621
2014,B - Mining and quarrying,0.000864716
2015,B - Mining and quarrying,0.000630769
2016,B - Mining and quarrying,0.000620898
2017,B - Mining and quarrying,0.000381161
1997,C - Manufacturing,0.010148778
1998,C - Manufacturing,0.00966932
1999,C - Manufacturing,0.012117576
2000,C - Manufacturing,0.012562381
2001,C - Manufacturing,0.011037179
2002,C - Manufacturing,0.011726665
2003,C - Manufacturing,0.012493945
2004,C - Manufacturing,0.011855648
2005,C - Manufacturing,0.012973219
2006,C - Manufacturing,0.010773821
2007,C - Manufacturing,0.010008504
2008,C - Manufacturing,0.008937278
2009,C - Manufacturing,0.009341494
2010,C - Manufacturing,0.010097779
2011,C - Manufacturing,0.008414475
2012,C - Manufacturing,0.009017935
2013,C - Manufacturing,0.008096446
2014,C - Manufacturing,0.008088077
2015,C - Manufacturing,0.007868642
2016,C - Manufacturing,0.008027854
2017,C - Manufacturing,0.00843089
1997,D - Electricity and power generation,0.005117427
1998,D - Electricity and power generation,0.005247572
1999,D - Electricity and power generation,0.003742028
2000,D - Electricity and power generation,0.004498689
2001,D - Electricity and power generation,0.004770523
2002,D - Electricity and power generation,0.006617653
2003,D - Electricity and power generation,0.006496392
2004,D - Electricity and power generation,0.006116317
2005,D - Electricity and power generation,0.005233706
2006,D - Electricity and power generation,0.003379046
2007,D - Electricity and power generation,0.003257645
2008,D - Electricity and power generation,0.002433838
2009,D - Electricity and power generation,0.002882355
2010,D - Electricity and power generation,0.002808763
2011,D - Electricity and power generation,0.002279365
2012,D - Electricity and power generation,0.002472177
2013,D - Electricity and power generation,0.002295314
2014,D - Electricity and power generation,0.002431828
2015,D - Electricity and power generation,0.002123088
2016,D - Electricity and power generation,0.002396401
2017,D - Electricity and power generation,0.002071259
1997,"E - Water collection, waste management and remediation activities ",0.08519559
1998,"E - Water collection, waste management and remediation activities ",0.076607525
1999,"E - Water collection, waste management and remediation activities ",0.076668209
2000,"E - Water collection, waste management and remediation activities ",0.074683581
2001,"E - Water collection, waste management and remediation activities ",0.057788303
2002,"E - Water collection, waste management and remediation activities ",0.054812312
2003,"E - Water collection, waste management and remediation activities ",0.060240261
2004,"E - Water collection, waste management and remediation activities ",0.05445008
2005,"E - Water collection, waste management and remediation activities ",0.049193395
2006,"E - Water collection, waste management and remediation activities ",0.045186193
2007,"E - Water collection, waste management and remediation activities ",0.030333861
2008,"E - Water collection, waste management and remediation activities ",0.02744937
2009,"E - Water collection, waste management and remediation activities ",0.02555875
