Year,Age group,Type of violence,Value
2015,,Physical violence,0.740131579
2016,,Physical violence,1.3136289
2017,,Physical violence,0.909090909
2018,,Physical violence,0.919377652
2015,18-25,Physical violence,0
2016,18-25,Physical violence,1.875
2017,18-25,Physical violence,2.197802198
2018,18-25,Physical violence,0.613496933
2015,26-35,Physical violence,2.702702703
2016,26-35,Physical violence,1.98019802
2017,26-35,Physical violence,1.298701299
2018,26-35,Physical violence,2.212389381
2015,36-45,Physical violence,0.492610837
2016,36-45,Physical violence,1.93236715
2017,36-45,Physical violence,1.52284264
2018,36-45,Physical violence,2.33463035
2015,46-55,Physical violence,0
2016,46-55,Physical violence,1.376146789
2017,46-55,Physical violence,0.502512563
2018,46-55,Physical violence,0.314465409
2015,56-65,Physical violence,0.529100529
2016,56-65,Physical violence,1.015228426
2017,56-65,Physical violence,0
2018,56-65,Physical violence,0
2015,66-75,Physical violence,0
2016,66-75,Physical violence,0
2017,66-75,Physical violence,0
2018,66-75,Physical violence,0
2015,76+,Physical violence,0
2016,76+,Physical violence,0
2017,76+,Physical violence,0
2018,76+,Physical violence,0
2015,,Sexual violence,1.069958848
2016,,Sexual violence,0.903119869
2017,,Sexual violence,0.578512397
2018,,Sexual violence,0.707213579
2015,18-25,Sexual violence,0.900900901
2016,18-25,Sexual violence,5
2017,18-25,Sexual violence,0
2018,18-25,Sexual violence,1.226993865
2015,26-35,Sexual violence,3.100775194
2016,26-35,Sexual violence,0.495049505
2017,26-35,Sexual violence,1.731601732
2018,26-35,Sexual violence,1.327433628
2015,36-45,Sexual violence,0.985221675
2016,36-45,Sexual violence,0.480769231
2017,36-45,Sexual violence,0.507614213
2018,36-45,Sexual violence,1.556420233
2015,46-55,Sexual violence,0
2016,46-55,Sexual violence,0
2017,46-55,Sexual violence,1.005025126
2018,46-55,Sexual violence,0.314465409
2015,56-65,Sexual violence,0.529100529
2016,56-65,Sexual violence,0.507614213
2017,56-65,Sexual violence,0
2018,56-65,Sexual violence,0
2015,66-75,Sexual violence,0
2016,66-75,Sexual violence,0
2017,66-75,Sexual violence,0
2018,66-75,Sexual violence,0
2015,76+,Sexual violence,0
2016,76+,Sexual violence,0
2017,76+,Sexual violence,0
2018,76+,Sexual violence,0
